gadm_name,year,dengue_total,n_months,source
Hưng Yên,2002,0,12,OpenDengue
Hưng Yên,2003,3,12,OpenDengue
Hưng Yên,2004,2,12,OpenDengue
Hưng Yên,2005,11,12,OpenDengue
Hưng Yên,2006,3,12,OpenDengue
Hưng Yên,2007,0,12,OpenDengue
Hưng Yên,2008,2,12,OpenDengue
Hưng Yên,2009,1,12,OpenDengue
Hưng Yên,2010,1,12,OpenDengue
Hưng Yên,2011,1,12,GDPM
Hưng Yên,2012,5,12,GDPM
Hưng Yên,2013,2,12,GDPM
Hưng Yên,2014,0,12,GDPM
Hưng Yên,2015,0,12,GDPM
Hưng Yên,2016,18,12,GDPM
Hưng Yên,2017,1116,12,GDPM
Hải Dương,1994,0,11,OpenDengue
Hải Dương,1995,1,12,OpenDengue
Hải Dương,1996,0,12,OpenDengue
Hải Dương,1997,1,12,OpenDengue
Hải Dương,1998,5,12,OpenDengue
Hải Dương,1999,0,12,OpenDengue
Hải Dương,2000,0,12,OpenDengue
Hải Dương,2001,0,12,OpenDengue
Hải Dương,2002,2,12,OpenDengue
Hải Dương,2003,1,12,OpenDengue
Hải Dương,2004,2,12,OpenDengue
Hải Dương,2005,2,12,OpenDengue
Hải Dương,2006,0,12,OpenDengue
Hải Dương,2007,2,12,OpenDengue
Hải Dương,2008,1,12,OpenDengue
Hải Dương,2009,11,12,OpenDengue
Hải Dương,2010,0,12,OpenDengue
Hải Dương,2011,9,12,GDPM
Hải Dương,2012,1,12,GDPM
Hải Dương,2013,2,12,GDPM
Hải Dương,2014,0,12,GDPM
Hải Dương,2015,4,12,GDPM
Hải Dương,2016,7,12,GDPM
Hải Dương,2017,579,12,GDPM
Hải Phòng,1994,155,11,OpenDengue
Hải Phòng,1995,78,12,OpenDengue
Hải Phòng,1996,148,12,OpenDengue
Hải Phòng,1997,85,12,OpenDengue
Hải Phòng,1998,170,12,OpenDengue
Hải Phòng,1999,444,12,OpenDengue
Hải Phòng,2000,207,12,OpenDengue
Hải Phòng,2001,284,12,OpenDengue
Hải Phòng,2002,102,12,OpenDengue
Hải Phòng,2003,165,12,OpenDengue
Hải Phòng,2004,25,12,OpenDengue
Hải Phòng,2005,12,12,OpenDengue
Hải Phòng,2006,12,12,OpenDengue
Hải Phòng,2007,11,12,OpenDengue
Hải Phòng,2008,6,12,OpenDengue
Hải Phòng,2009,272,12,OpenDengue
Hải Phòng,2010,87,12,OpenDengue
Hải Phòng,2011,74,12,GDPM
Hải Phòng,2012,75,12,GDPM
Hải Phòng,2013,321,12,GDPM
Hải Phòng,2014,60,12,GDPM
Hải Phòng,2015,113,12,GDPM
Hải Phòng,2016,8,12,GDPM
Hải Phòng,2017,860,12,GDPM
Hậu Giang,2004,1238,12,OpenDengue
Hậu Giang,2005,1332,12,OpenDengue
Hậu Giang,2006,833,12,OpenDengue
Hậu Giang,2007,1162,12,OpenDengue
