gadm_name,year,observed,population,expected,sir_raw,province_id,time_id
Quảng Bình,1995,604,772108,949.3517774053693,0.6362235942200112,40,2
Quảng Bình,1996,1186,777034,1058.2970313706833,1.1206683613804704,40,3
Quảng Bình,1997,1544,781991,1146.6972868491196,1.346475672095278,40,4
Quảng Bình,1998,7893,786980,2504.0440608653444,3.1521010845441544,40,5
Quảng Bình,1999,1024,792000,380.827626886881,2.6888805530491715,40,6
Quảng Bình,2000,0,797052,267.16897341643966,0,40,7
Quảng Bình,2001,1098,802137,442.2144534455669,2.4829581924444155,40,8
Quảng Bình,2002,590,807254,331.10692573538995,1.7819017185750716,40,9
Quảng Bình,2003,523,812404,518.5166169494036,1.0086465561643396,40,10
Quảng Bình,2004,385,817587,799.1056756667799,0.48178859407894087,40,11
Quảng Bình,2005,218,822802,576.3389272399371,0.3782496543205798,40,12
Quảng Bình,2006,0,828051,690.4154228845772,0,40,13
Quảng Bình,2007,69,833334,1042.6576348272729,0.06617704383033705,40,14
Quảng Bình,2008,39,838650,955.4192595112038,0.04081977583323216,40,15
Quảng Bình,2009,85,844000,1036.4101249300763,0.08201386493183353,40,16
Quảng Bình,2010,657,849384,1256.5948819111863,0.5228415374418464,40,17
Quảng Nam,1994,2043,1390596,929.344019013928,2.1983247949103997,41,1
Quảng Nam,1995,673,1392471,1712.124234997477,0.39307895200782067,41,2
Quảng Nam,1996,2374,1394350,1899.0629312124208,1.2500902213305616,41,3
Quảng Nam,1997,1297,1396231,2047.407578238922,0.6334840281853478,41,4
Quảng Nam,1998,3375,1398114,4448.574370521093,0.7586700185040769,41,5
Quảng Nam,1999,237,1400000,673.1801485374159,0.35206029250107534,41,6
Quảng Nam,2000,59,1401888,469.9078326192341,0.12555653663216898,41,7
Quảng Nam,2001,273,1403780,773.8974831703536,0.35275990158493137,41,8
Quảng Nam,2002,434,1405673,576.5571500658316,0.7527441120978998,41,9
Quảng Nam,2003,1372,1407569,898.3805052693672,1.5271925336231829,41,10
Quảng Nam,2004,261,1409468,1377.6073720236561,0.18945891645208046,41,11
Quảng Nam,2005,38,1411369,988.605880150635,0.038437966800490705,41,12
Quảng Nam,2006,242,1413273,1178.363984762237,0.20536948101721667,41,13
Quảng Nam,2007,896,1415179,1770.655210272502,0.5060273704343075,41,14
Quảng Nam,2008,387,1417088,1614.3959549540484,0.239718142759479,41,15
Quảng Nam,2009,349,1419000,1742.4952218907326,0.2002874932542483,41,16
Quảng Nam,2010,3078,1420914,2102.127259326702,1.4642310480222132,41,17
Quảng Ngãi,1994,601,1174278,784.7773443614374,0.7658223116634764,42,1
Quảng Ngãi,1995,1182,1177208,1447.4458329350557,0.8166108693706359,42,2
Quảng Ngãi,1996,1830,1180145,1607.3221378819396,1.1385396597669561,42,3
Quảng Ngãi,1997,839,1183089,1734.8600513318413,0.4836124962102303,42,4
Quảng Ngãi,1998,4245,1186041,3773.7921192314852,1.1248632319642646,42,5
Quảng Ngãi,1999,443,1189000,571.7222832935626,0.774851729493518,42,6
Quảng Ngãi,2000,27,1191966,399.54273067164996,0.06757725251216995,42,7
Quảng Ngãi,2001,93,1194940,658.7649478832739,0.14117326718554948,42,8
Quảng Ngãi,2002,238,1197922,491.34506696874814,0.4843846331220782,42,9
Quảng Ngãi,2003,41,1200910,766.4804585658221,0.05349125283208912,42,10
Quảng Ngãi,2004,452,1203907,1176.6930206509717,0.3841273739772366,42,11
Quảng Ngãi,2005,41,1206910,845.390767979602,0.04849828215889539,42,12
Quảng Ngãi,2006,1468,1209921,1008.8124027045804,1.4551763995608682,42,13
Quảng Ngãi,2007,1047,1212940,1517.6161678119365,0.6898977634835955,42,14
Quảng Ngãi,2008,657,1215966,1385.2707748295481,0.47427550767527105,42,15
Quảng Ngãi,2009,1242,1219000,1496.9004055565913,0.8297145190084895,42,16
Quảng Ngãi,2010,5667,1222041,1807.9107518926987,3.1345573856824664,42,17
Quảng Ninh,1994,96,961699,642.7094668341313,0.14936764580873277,43,1
Quảng Ninh,1995,110,969821,1192.4514318140114,0.09224694361988647,43,2
Quảng Ninh,1996,152,978011,1332.0216849557075,0.11411225636694819,43,3
Quảng Ninh,1997,183,986271,1446.2497391887732,0.12653416283597596,43,4
Quảng Ninh,1998,433,994600,3164.6575807983327,0.1368236496192328,43,5
Quảng Ninh,1999,1174,1003000,482.2854921307344,2.434242827444954,43,6
Quảng Ninh,2000,157,1011471,339.0414536448057,0.4630702184414296,43,7
Quảng Ninh,2001,383,1020013,562.3284941380001,0.6810965547586294,43,8
Quảng Ninh,2002,27,1028627,421.90626952411134,0.06399525664895811,43,9
Quảng Ninh,2003,21,1037315,662.0659973496813,0.03171889220117809,43,10
Quảng Ninh,2004,24,1046075,1022.4287686486292,0.023473517897702963,43,11
Quảng Ninh,2005,6,1054910,738.9210256351856,0.008119947588231539,43,12
Quảng Ninh,2006,5,1063819,886.9949372172101,0.005637010754183803,43,13
Quảng Ninh,2007,0,1072803,1342.2784125159933,0,43,14
Quảng Ninh,2008,0,1081863,1232.4959713260234,0,43,15
Quảng Ninh,2009,268,1091000,1339.719723102741,0.20004184112429277,43,16
Quảng Ninh,2010,144,1100214,1627.67756563231,0.08846961034574423,43,17
Quảng Trị,1994,1449,563834,376.81379467271523,3.845400620904925,44,1
Quảng Trị,1995,991,566050,695.9914592263119,1.4238680473200487,44,2
Quảng Trị,1996,586,568274,773.9721649311917,0.7571331716459041,44,3
Quảng Trị,1997,947,570507,836.5810207897924,1.1319883866191036,44,4
Quảng Trị,1998,14758,572749,1822.3953999041464,8.098132820559268,44,5
Quảng Trị,1999,185,575000,276.48470386358156,0.6691147734931463,44,6
Quảng Trị,2000,77,577260,193.4954828472596,0.39794210628049564,44,7
Quảng Trị,2001,44,579528,319.4911315353892,0.1377190026795039,44,8
Quảng Trị,2002,784,581806,238.63616164726875,3.2853361141419994,44,9
Quảng Trị,2003,734,584092,372.79654928731395,1.9689023447325604,44,10
Quảng Trị,2004,210,586387,573.1318866826601,0.36640781097610753,44,11
